total_blinks,avg_blinks_per_minute,min_aspect_ratio,max_aspect_ratio,avg_aspect_ratio,min_blink_duration_in_ms,max_blink_duration_in_ms,avg_blink_duration_in_ms,participant,difficulty_level,difficulty_easy,difficulty_hard,difficulty_medium
10,3.5741995793409678,0.1266432150146264,0.3650260935806104,0.2624228542560536,39.23107100823853,156.92428403295412,70.61592781482936,participant_5,easy,1,0,0
5,1.7850140056022403,0.1615167422234795,0.3921891846459392,0.2704857514612798,78.46214201647706,274.6174970576697,125.5394272263633,participant_5,hard,0,1,0
7,2.499019607843137,0.1596055443779989,0.4132862758464408,0.2683387896292921,39.23107100823853,117.6932130247156,67.25326458555176,participant_5,medium,0,0,1
16,6.682352941176471,0.1006921414545314,0.310024004413888,0.2513178486341238,33.5345405767941,134.1381623071764,58.68544600938968,participant_4,easy,1,0,0
2,0.8352941176470589,0.1176374672555205,0.2879689107673032,0.2463313111452762,33.5345405767941,33.5345405767941,33.5345405767941,participant_4,hard,0,1,0
11,4.594117647058824,0.0899613967732585,0.3234488813321015,0.2558006634800212,33.5345405767941,167.6727028839705,64.02048655569783,participant_4,medium,0,0,1
10,4.183473389355743,0.0824591722252576,0.3440456449689448,0.2628789024820948,33.47840642785403,267.82725142283226,110.4787412119183,participant_13,easy,1,0,0
6,2.510084033613446,0.0887025347252106,0.3190837682093635,0.2603318566951091,33.47840642785403,301.3056578506863,150.65282892534316,participant_13,hard,0,1,0
3,1.255042016806723,0.1045120606960037,0.3268489758015647,0.2661475394967709,66.95681285570807,167.39203213927016,100.4352192835621,participant_13,medium,0,0,1
13,2.7966386554621847,0.1001855623464659,0.3142000684163745,0.2689823502741935,65.10416666666667,325.52083333333337,170.27243589743588,participant_18,easy,1,0,0
5,1.0756302521008403,0.0987251864575865,0.326588962562246,0.2729944079847103,65.10416666666667,390.625,143.22916666666669,participant_18,hard,0,1,0
12,2.581512605042017,0.1229021463653281,0.3209839058971993,0.2723009087477661,65.10416666666667,390.625,222.43923611111111,participant_18,medium,0,0,1
117,49.07773109243697,0.0247996349790159,0.3587270692784053,0.2862228191994693,33.3889816360601,367.2787979966611,104.16220766805073,participant_14,easy,1,0,0
79,33.13795518207282,0.0365679262471102,0.3683227009259103,0.3006486979446601,33.3889816360601,333.889816360601,80.30261406141035,participant_14,hard,0,1,0
101,42.36624649859944,0.0313316689395435,0.3634951129591403,0.2920428729640505,33.3889816360601,333.889816360601,95.86935321244977,participant_14,medium,0,0,1
19,7.975210084033613,0.1734605541807453,0.363176256155179,0.3239771223206656,33.366700033366705,300.3003003003004,173.85806859491072,participant_16,easy,1,0,0
19,7.975210084033613,0.1672460453499671,0.3538161331323456,0.3082184428468058,33.366700033366705,266.93360026693364,172.10192648789143,participant_16,hard,0,1,0
5,2.0987394957983194,0.1492564382401605,0.3620768222769688,0.3161186343737406,33.366700033366705,233.5669002335669,140.14014014014018,participant_16,medium,0,0,1
24,4.810084033613446,0.1175984797605717,0.3424214733658518,0.2925034327834469,69.88120195667365,349.40600978336823,163.05613789890518,participant_8,easy,1,0,0
14,2.8058823529411767,0.0823946443315605,0.3420554593115535,0.2925785147298645,69.88120195667365,349.40600978336823,159.72846161525408,participant_8,hard,0,1,0
19,3.807983193277311,0.1315324401645896,0.3517771754225986,0.2934127503253871,139.7624039133473,279.5248078266946,147.11831990878667,participant_8,medium,0,0,1
28,9.91372549019608,0.0389403679424142,0.3119773767532378,0.2354152687339715,39.55696202531645,118.67088607594935,80.5266726943942,participant_15,easy,1,0,0
8,2.83249299719888,0.0602427493768734,0.3203366457608655,0.237358593686362,39.55696202531645,158.2278481012658,89.00316455696202,participant_15,hard,0,1,0
13,4.60280112044818,0.0469995694097042,0.3231109509627187,0.2296952279168445,39.55696202531645,356.0126582278481,136.92794547224923,participant_15,medium,0,0,1
14,5.870588235294118,0.0673252537264258,0.3708893956986764,0.3159796009928202,33.4001336005344,100.2004008016032,62.0288195438496,participant_2,easy,1,0,0
3,1.257983193277311,0.0558963874265619,0.3612794172232219,0.3202103359544354,33.4001336005344,66.8002672010688,55.666889334224,participant_2,hard,0,1,0
3,1.257983193277311,0.0726946574667458,0.3606951604516179,0.3194300255464883,33.4001336005344,233.80093520374083,100.2004008016032,participant_2,medium,0,0,1
4,0.842016806722689,0.1235785543122692,0.3440077617802322,0.2701706292915862,133.0671989354624,266.13439787092483,216.2341982701264,participant_7,easy,1,0,0
3,0.6315126050420168,0.1180369974905035,0.3169600990923802,0.2633573512710356,133.0671989354624,266.13439787092483,199.6007984031936,participant_7,hard,0,1,0
1,0.2105042016806722,0.16955338168973,0.3207753213415882,0.2694429458529272,199.6007984031936,199.6007984031936,199.6007984031936,participant_7,medium,0,0,1
16,6.718207282913165,0.1257054215020837,0.3168774319577998,0.2716608891569724,33.3555703802535,300.2001334222815,79.21947965310207,participant_10,easy,1,0,0
3,1.2596638655462185,0.1465052028347928,0.3295256459987057,0.2809453149157048,33.3555703802535,266.844563042028,111.18523460084502,participant_10,hard,0,1,0
5,2.099439775910364,0.1276017199442304,0.3200886944275657,0.27809093025923,33.3555703802535,266.844563042028,160.1067378252168,participant_10,medium,0,0,1
30,9.684873949579831,0.0758875614623683,0.3455021872880749,0.2933038707096823,43.38394793926247,130.1518438177874,73.75271149674619,participant_3,easy,1,0,0
10,3.2282913165266107,0.1086812871120093,0.3408725189823853,0.2923860621730893,43.38394793926247,86.76789587852494,73.7527114967462,participant_3,hard,0,1,0
9,2.905462184873949,0.1047365972025518,0.3300210255226353,0.295544359304103,43.38394793926247,86.76789587852494,57.845263919016624,participant_3,medium,0,0,1
19,7.645238095238096,0.0400061865540437,0.326962048012591,0.266214947647756,34.80682213713888,313.2613992342499,82.4372103248026,participant_11,easy,1,0,0
15,6.035714285714287,0.0561439203324759,0.3156478422457407,0.2698398718965197,34.80682213713888,348.0682213713888,88.17728274741849,participant_11,hard,0,1,0
15,6.035714285714287,0.0586584202255504,0.3261518493333586,0.2693074563034142,34.80682213713888,382.8750435085277,90.49773755656108,participant_11,medium,0,0,1
5,1.6694677871148458,0.0824394189820335,0.2992070814499961,0.2416406703038991,41.94630872483221,125.83892617449663,83.89261744966443,participant_6,easy,1,0,0
1,0.3338935574229691,0.1225800094880207,0.3027996365701138,0.2449962720662415,125.83892617449663,125.83892617449663,125.83892617449663,participant_6,hard,0,1,0
3,1.0016806722689076,0.1007762604914766,0.3036740159916976,0.241719579033932,41.94630872483221,293.6241610738255,125.83892617449663,participant_6,medium,0,0,1
